     sheep   livewt  chestgth  
       1      30      76
       2      20      63
       3      28      77
       4      29      73
       5      18      62
       6      19      67
       7      24      71
       8      28      70
       9      25      71
      10      30      74
      11      28      70
      12      27      69
      13      20      63
      14      22      65
      15      27      72
      16      21      64
      17      27      71
      18      31      74
      19      25      69
      20      28      72
      21      28      74
      22      28      74
      23      30      73
      24      23      67
      25      25      67
      26      25      67
      27      25      65
      28      48      89
      29      28      72
      30      22      63
      31      19      62
      32      20      62
      33      20      64
      34      17      60
      35      22      69
      36      35      75
      37      35      77
      38      35      78
      39      35      78
      40      46      86
      41      48      90
      42      44      84
      43      37      84
      44      43      81
      45      32      73
      46      43      84
      47      31      73
      48      31      73
      49      39      78
      50      36      81
      51      33      80
      52      44      82
      53      39      80
      54      45      86
      55      43      88
      56      41      87
      57      36      82
      58      43      80
      59      33      79
      60      35      78
      61      38      78
      62      36      76
      63      35      74
      64      39      81
      65      34      74
      66      39      76
