Donkey	Sex	Age	Bodywt	Htgirth	Umbgth	Length	Height
1	0	3.5	128	111	126	95	106
2	0	2	102	106	120	75	101
3	0	3	100	103	125	76	101
4	0	3	92	102	121	73	101
5	0	3	98	105	121	70	101
6	0	4	110	101	126	80	101
7	0	4	110	110	125	80	106
8	0	3	122	115	128	82	103
9	0	6	116	112	124	85	111
10	1	5	100	107	122	77	105
11	1	6	102	109	128	76	101
12	1	10	104	104	120	80	101
13	0	8	160	123	137	90	116
14	0	10	130	114	132	95	110
15	1	4	104	108	125	78	99
16	1	12	218	139	162	105	126
17	0	3	114	111	124	80	109
18	1	3	104	107	126	75	106
19	0	7	126	112	121	83	103
20	1	8	136	121	150	85	109
21	1	4	100	103	120	82	99
22	0	6	140	115	139	82	109
23	1	10	122	111	136	80	101
24	0	12	188	127	160	100	119
25	1	6	120	108	131	90	106
26	1	8	112	108	125	78	103
27	0	12	134	112	138	88	111
28	1	10	106	105	132	82	106
29	1	8	92	104	114	75	96
30	0	10	92	102	103	85	99
31	1	12	126	120	134	88	116
32	0	10	104	108	122	80	116
33	1	10	145	120	145	86	111
34	0	14	162	121	127	89	113
35	1	3	106	104	125	76	105
36	1	8	114	108	124	81	103
37	0	6	108	103	122	74	104
38	1	8	134	111	139	79	104
39	1	8	104	105	127	78	97
40	0	8	136	115	134	78	107
41	1	16	138	112	134	85	108
42	1	10	116	108	121	80	97
43	1	8	98	103	127	72	97
44	0	8	104	105	115	76	99
45	1	10	114	108	128	80	97
46	0	12	130	112	133	84	104
47	0	8	134	115	135	82	106
48	1	6	119	108	134	78	98
49	1	12	106	103	128	79	97
50	0	8	119	110	130	78	105
51	1	14	185	122	147	98	118
52	0	14	206	127	161	118	179
53	0	12	120	108	137	83	103
54	1	8	114	108	124	81	103
55	0	8	127	112	129	87	104
56	0	12	125	111	134	86	107
57	0	6	128	114	130	85	109
58	1	6	140	115	136	91	108
59	0	10	123	113	135	80	101
60	0	8	120	112	136	78	105
61	0	8	146	117	137	80	109
62	1	6	106	103	122	80	104
63	1	5	106	101	126	82	96
64	0	4	100	103	124	77	92
65	0	7	124	112	127	83	106
66	0	6	120	110	122	79	103
67	0	10	108	109	131	80	104
68	1	10	102	106	123	82	100
69	0	7	95	102	117	73	100
70	1	10	121	112	130	82	104
71	0	8	139	117	134	86	109
72	0	8	106	103	126	77	95
73	0	8	148	122	129	85	116
74	0	12	114	111	128	85	102
75	0	10	130	114	138	76	99
76	1	6	114	109	133	78	105
77	1	8	99	102	130	75	92
78	0	8	134	113	132	86	105
79	0	12	126	112	133	75	101
80	0	6	110	108	124	79	101
81	1	7	111	107	124	84	104
82	1	10	136	121	146	90	109
83	0	8	133	111	134	78	100
84	0	10	146	118	153	84	106
85	0	8	116	114	131	80	98
86	0	12	120	112	130	83	98
87	1	8	114	117	127	84	102
88	0	6	116	113	126	78	99
89	1	6	152	117	160	81	104
90	0	10	128	119	135	80	101
91	0	6	108	110	135	82	101
92	1	4	148	125	158	90	105
93	1	6	90	103	128	73	96
94	1	8	104	110	136	80	96
95	0	6	114	115	133	85	103
96	0	4	108	113	128	84	103
97	0	8	120	117	120	80	101
98	0	8	102	107	127	73	99
99	0	4	124	112	132	85	102
100	0	6	114	110	133	81	101
101	1	6	132	121	141	85	106
102	0	6	128	123	138	84	109
103	1	6	132	119	142	87	101
104	0	4	142	114	142	88	105
105	0	6	112	113	132	78	103
106	1	10	132	118	145	76	107
107	0	6	110	111	127	78	97
108	1	10	118	119	134	85	102
109	0	3	102	110	134	77	101
110	0	10	124	114	134	80	102
111	0	4	104	104	120	80	100
112	0	6	124	116	133	85	105
113	0	3	94	105	123	79	101
114	0	6	114	112	129	87	102
115	0	7	143	116	139	88	107
116	0	8	156	119	145	85	108
117	1	10	118	116	147	80	104
118	1	6	162	126	146	98	116
119	0	10	128	114	132	82	105
120	0	2	98	109	128	74	96
121	1	10	142	121	150	85	106
122	1	8	132	110	150	80	99
123	1	3.5	94	108	128	86	99
124	1	2.5	86	106	123	76	97
125	1	6	152	127	149	89	109
126	1	6	216	134	166	96	111
127	1	5	140	120	137	86	104
128	1	8	106	112	138	75	99
129	1	9	118	111	134	84	103
130	1	10	100	109	131	77	95
131	0	13	126	120	134	81	105
132	1	3	100	108	125	69	92
133	1	4	88	100	115	76	95
134	1	2	96	109	128	80	101
135	1	10	126	110	138	86	100
136	0	7	118	109	132	85	102
137	1	10	192	139	162	97	117
138	1	8	136	106	144	82	105
139	0	7	172	128	154	87	111
140	1	4	118	111	138	83	105
141	1	10	114	108	139	83	83
142	0	8	152	128	147	82	110
143	0	10	102	108	127	78	97
144	0	13	134	116	144	78	101
145	0	13	134	121	145	85	110
146	0	8	90	104	126	85	100
147	0	8	164	124	155	98	118
148	0	4	134	121	145	90	111
149	0	5	118	114	131	78	106
150	0	2.5	100	111	131	72	104
151	1	8	122	113	136	87	104
152	0	6	124	114	138	77	106
153	1	4	90	108	129	70	99
154	0	6	106	110	129	71	103
155	0	13	126	116	136	80	111
156	1	6	106	111	137	72	104
157	1	6	124	121	145	85	108
158	0	12	124	115	130	78	107
159	1	8	148	124	143	86	106
160	1	3	130	119	142	77	104
161	1	5	106	108	131	76	98
162	1	6	180	131	163	93	114
163	1	3	100	116	127	76	99
164	1	2	134	111	143	84	101
165	1	8	110	117	132	76	102
166	1	3	110	109	130	79	102
167	0	13	102	114	129	74	102
168	0	10	124	113	135	74	108
169	1	4	116	114	145	83	109
170	0	6	96	102	116	77	97
171	0	8	120	107	127	80	95
172	1	6	134	115	136	85	100
173	0	12	134	111	136	81	104
174	1	4	96	101	121	75	98
175	0	10	150	114	150	80	104
176	1	10	116	107	125	79	102
177	0	3	94	101	117	74	96
178	0	10	112	105	131	76	95
179	1	2	80	89	112	69	88
180	1	12	100	103	132	85	93
181	0	14	158	124	138	98	120
182	0	1.5	62	86	102	63	86
183	1	8	106	105	129	83	98
184	0	1	52	80	102	58	76
185	0	6	114	106	127	81	102
186	1	10	168	125	154	90	109
187	0	10	156	121	139	86	114
188	0	8	162	122	141	88	112
189	1	6	146	121	145	85	112
190	0	10	143	115	137	83	106
191	1	3	86	100	119	76	94
192	0	10	112	110	130	85	108
193	1	2	62	91	99	72	90
194	0	8	138	113	140	77	102
195	1	3	92	99	129	74	96
196	0	8	120	106	135	87	103
197	1	2	90	101	121	81	96
198	0	12	112	103	123	80	96
199	0	6	104	107	126	78	101
200	1	8	122	116	134	86	107
201	0	12	166	123	148	92	109
202	0	8	114	109	130	78	99
203	0	8	134	113	135	81	104
204	0	12	174	124	154	92	119
205	0	6	114	105	125	84	102
206	0	10	168	125	140	90	107
207	0	8	134	114	131	90	107
208	1	4	96	103	122	75	94
209	0	6	110	109	130	85	104
210	0	8	112	110	124	86	107
211	0	8	116	110	126	85	102
212	0	12	100	104	118	82	102
213	0	8	132	114	131	86	106
214	1	8	114	114	136	85	102
215	1	6	96	109	124	78	98
216	0	6	134	114	135	85	108
217	1	6	98	105	132	84	100
218	0	5	118	111	126	82	105
219	1	3	106	108	120	80	102
220	0	8	132	112	136	76	107
221	0	10	120	113	121	73	103
222	0	12	106	108	122	82	102
223	0	12	138	116	136	87	113
224	1	3	106	108	130	77	103
225	0	8	108	110	127	83	102
226	0	12	150	120	145	87	116
227	0	8	100	106	125	78	100
228	0	8	136	114	138	85	116
229	0	14	168	123	147	98	116
230	1	6	138	116	138	81	107
231	0	12	120	115	124	88	113
232	0	8	138	116	153	86	110
233	0	10	130	112	130	81	105
234	1	7	132	113	149	80	102
235	0	8	130	115	138	77	106
236	0	12	156	123	135	87	114
237	1	12	174	124	150	93	114
238	0	8	144	118	137	85	109
239	1	8	122	116	141	83	106
240	0	8	174	128	152	90	119
241	0	4	94	103	122	77	95
242	1	4	76	99	120	79	90
243	1	10	138	117	139	91	105
244	0	8	116	114	128	83	107
245	0	6	128	116	138	84	105
246	1	6	164	125	155	97	117
247	0	12	200	129	160	102	119
248	1	4	116	108	129	84	104
249	0	6	114	112	127	88	109
250	0	10	124	110	124	81	105
251	1	12	104	107	124	80	104
252	1	6	94	104	123	77	95
253	0	10	134	115	135	87	108
254	1	8	136	116	137	88	111
255	1	8	130	114	134	88	108
256	0	4	106	106	128	81	104
257	0	10	128	111	131	80	104
258	0	11	108	110	130	85	103
259	0	8	114	109	118	81	102
260	0	12	132	110	138	88	106
261	0	6	108	107	121	81	101
262	1	8	106	105	128	76	98
263	1	4	96	103	118	75	95
264	0	10	100	107	124	78	103
265	1	6	138	118	143	88	112
266	0	10	108	107	132	78	92
267	1	8	118	108	129	81	101
268	1	12	130	114	143	78	102
269	1	6	96	102	123	76	96
270	0	10	146	116	145	93	114
271	1	10	126	116	136	82	105
272	1	8	178	129	155	92	116
273	1	12	106	110	126	92	104
274	1	8	110	110	131	85	104
275	0	10	116	113	120	84	105
276	0	8	144	117	137	84	113
277	1	9	120	113	136	89	107
278	0	4	90	103	122	76	98
279	1	4	108	107	127	85	103
280	1	8	120	111	136	79	96
281	0	6	108	104	126	79	99
282	0	7	106	110	122	78	104
283	1	12	146	125	148	92	110
284	1	6	122	112	125	82	103
285	0	10	130	116	137	81	103
286	0	6	128	119	132	81	106
287	1	4	104	112	123	81	102
288	1	8	120	110	143	82	102
289	1	4	104	108	129	79	99
290	1	6	116	110	129	78	101
291	1	12	124	113	139	86	102
292	0	10	130	113	133	87	106
293	0	10	98	106	121	75	97
294	0	12	156	124	145	91	113
295	0	10	150	124	143	86	119
296	0	6	106	106	124	71	98
297	1	4	112	106	128	89	98
298	1	8	108	114	131	86	99
299	0	16	116	111	131	83	101
300	0	12	114	111	126	84	102
301	0	10	98	107	124	77	103
302	1	8	140	118	143	88	106
303	0	6	96	109	124	64	96
304	0	13	142	114	141	84	103
305	1	3	78	91	121	72	86
306	0	3	76	94	112	74	94
307	0	3	82	98	109	78	94
308	0	4	58	88	106	66	82
309	1	4	74	93	117	72	95
310	1	4	74	95	106	72	99
311	0	4	68	93	105	73	96
312	1	10	120	111	137	77	104
313	0	12	114	117	123	83	104
314	0	8	126	114	142	82	106
315	0	6	144	119	139	86	107
316	0	10	126	113	132	80	102
317	0	4	122	116	138	74	108
318	0	6	124	111	139	77	102
319	0	10	118	111	139	78	98
320	0	6	120	110	130	86	102
321	0	10	128	114	141	82	106
322	1	10	142	122	144	88	111
323	0	10	130	112	140	77	101
324	0	5	124	118	137	74	112
325	0	8	120	111	137	80	102
326	0	10	116	109	126	83	105
327	0	8	118	115	129	81	104
328	1	6	98	114	122	80	103
329	1	4	82	112	118	72	102
330	0	8	94	102	123	76	99
331	0	8	104	109	124	72	100
332	0	8	120	108	138	84	103
333	0	4	122	108	136	81	103
334	0	6	108	109	129	81	101
335	1	10	128	111	138	86	110
336	1	2	78	101	126	70	92
337	1	12	158	122	150	90	108
338	1	6	144	116	147	88	106
339	0	8	120	113	130	85	103
340	1	10	126	118	138	84	112
341	0	6	152	120	130	83	110
342	0	4	114	110	133	75	101
343	0	12	128	118	136	79	108
344	0	6	106	104	126	82	96
345	0	8	154	123	143	84	106
346	0	10	120	106	141	82	98
347	0	8	97	101	121	76	96
348	0	10	125	111	132	86	104
349	1	6	120	110	129	81	102
350	1	2	112	107	121	80	96
351	0	10	169	122	142	91	111
352	1	6	152	122	140	90	109
353	0	8	222	131	156	95	117
354	0	4	104	108	116	77	99
355	0	10	165	127	134	89	104
356	1	10	144	121	113	88	107
357	1	8	111	103	115	78	96
358	1	3	135	116	123	87	101
359	1	8	156	120	132	84	100
360	0	10	102	107	107	87	103
361	1	6	131	116	120	77	103
362	0	4	123	116	117	74	99
363	1	5	108	105	113	73	98
364	1	6	125	114	120	75	102
365	1	8	191	129	128	96	113
366	1	6	152	122	120	87	110
367	1	8	149	117	123	96	108
368	1	6	149	117	122	80	99
369	1	8	175	122	120	89	112
370	0	5	123	110	119	80	96
371	1	10	157	119	144	89	104
372	1	4	108	108	115	78	95
373	1	8	128	112	108	89	102
374	0	6	121	110	123	79	102
375	1	12	144	118	115	89	104
376	0	12	140	114	138	78	104
377	0	10	100	104	115	78	95
378	1	6	128	112	122	88	103
379	0	10	154	120	131	84	108
380	0	12	128	113	127	83	100
381	1	6	140	116	128	94	110
382	1	8	114	111	119	74	103
383	1	6	148	118	132	89	102
384	0	6	148	115	124	87	106
385	0	10	166	122	136	91	111
386	1	4	120	110	126	81	103
