Ras	Geslacht	Gewicht	Hpscore	PUscore	Verkregen	AndereKatten	 Beweging 	LftEig	LengteEig	GewEig	GeslachtEig	Huishouden	BMI	LftKatDec	BMI25	HPobesitas	PUobesitas
Kruising/ander ras/onbekend	Gesteriliseerde poes	9,4	Overgewicht/Obesitas	7	Asiel	Geen andere katten	Nee, alleen binnenshuis	47	176	0	Vrouw	E‚n persoon		3,6		1	1
Kruising/ander ras/onbekend	Gesteriliseerde poes	6,2	Overgewicht/Obesitas	7	Gekregen (van bekenden)	Geen andere katten	Ook buiten de tuin	54	170	73	Vrouw	Meer dan twee personen	25,3	6,6	1	1	1
Kruising/ander ras/onbekend	Poes	2,6	Ondergewicht	5	Fokker van raskatten	Geen andere katten	Nee, alleen binnenshuis	25	177	88	Vrouw	Twee personen	28,1	0,4	1	0	0
Gewone huiskat/Europese korthaar	Gesteriliseerde poes	3	Ondergewicht	2	Gekregen (van bekenden)	2 of meer andere katten	Ook buiten de tuin	53	175	65	Vrouw	Twee personen	21,2	18	0	0	0
Gewone huiskat/Europese korthaar	Gesteriliseerde poes	5,7	Overgewicht/Obesitas	9	Anders, namelijk ...	1 andere kat	Ook buiten de tuin	50	158	93	Vrouw	Twee personen	37,3	4,3	1	1	1
Gewone huiskat/Europese korthaar	Gesteriliseerde poes	2,5	Ideaal gewicht	4	Gekregen (van bekenden)	Geen andere katten	Ook buiten de tuin	52	170	75	Man	Meer dan twee personen	26	7,2	1	0	0
Gewone huiskat/Europese korthaar	Gecastreerde kater	5,1	Overgewicht/Obesitas	5	Gekregen (van bekenden)	Geen andere katten	Ook buiten de tuin	20	170	56	Vrouw	Twee personen	19,4	11,7	0	1	0
Gewone huiskat/Europese korthaar	Gecastreerde kater	5,2	Overgewicht/Obesitas	7	Zelf gefokt	1 andere kat	Ook buiten de tuin	48	176	60	Vrouw	Meer dan twee personen	19,4	5,3	0	1	1
Gewone huiskat/Europese korthaar	Gecastreerde kater	5,9	Overgewicht/Obesitas	6	Gekregen (van bekenden)	1 andere kat	Nee, alleen binnenshuis	19	180	78	Man	Meer dan twee personen	24,1	6	0	1	1
Maine Coon	Gesteriliseerde poes	4,4	Ondergewicht	5	Anders, namelijk ...	Geen andere katten	Ook buiten de tuin	55	163	73	Vrouw	Meer dan twee personen	27,5	8,2	1	0	0
Gewone huiskat/Europese korthaar	Gesteriliseerde poes	3,6	Ideaal gewicht	5	Aan komen lopen/gevonden	1 andere kat	Ook buiten de tuin	24	179	80	Vrouw	Twee personen	25	1,4	0	0	0
Kruising/ander ras/onbekend	Gecastreerde kater	6,9	Overgewicht/Obesitas	7	Fokker van raskatten	1 andere kat	Eigen tuin of binnenplaats	18	170	62	Vrouw	Meer dan twee personen	21,5	12,3	0	1	1
Siamees	Poes	4,5	Ideaal gewicht	5	Asiel	1 andere kat	Ook buiten de tuin	25	172	62	Vrouw	E‚n persoon	21	2	0	0	0
Maine Coon	Gesteriliseerde poes	6,1	Ideaal gewicht	6	Fokker van raskatten	1 andere kat	Eigen tuin of binnenplaats	54	169	65	Vrouw	Meer dan twee personen	22,8	11,7	0	0	1
Gewone huiskat/Europese korthaar	Gesteriliseerde poes	2,6	Ondergewicht	2	Gekregen (van bekenden)	Geen andere katten	Ook buiten de tuin	20	173	64	Vrouw	Meer dan twee personen	21,4	16,6	0	0	0
Gewone huiskat/Europese korthaar	Poes	2,7	Ideaal gewicht	4	Zelf gefokt	2 of meer andere katten	Ook buiten de tuin	63	174	72	Man	Meer dan twee personen	23,8	1,3	0	0	0
Kruising/ander ras/onbekend	Gesteriliseerde poes	4,7	Ideaal gewicht	6	Aan komen lopen/gevonden	Geen andere katten	Ook buiten de tuin	54	185	85	Man	Meer dan twee personen	24,8	8,1	0	0	1
