HR,speed,Trainer,Age,goodbad,recover,talent,swimrating
175,0.906,1,4,1,80,3,70
132,0.958,1,6,1,55,2,82
193,1.057,1,5,1,73,2,75
172,1.095,1,6,0,90,2,82
174,1.124,1,5,0,66,3,105
148,0.931,2,6,1,75,2,87
166,0.964,2,4,0,86,1,66
174,0.967,2,4,0,71,1,54
166,0.983,2,7,1,86,2,56
183,0.99,2,5,1,73,2,60
165,0.999,2,5,1,67,1,25
163,1.022,2,4,1,76,1,54
165,1.031,2,3,0,77,1,73
181,1.046,2,3,0,78,2,44
179,1.059,2,3,1,77,3,70
185,1.227,2,6,1,88,1,33
170,1,4,6,1,81,2,62
197,1.103,4,6,0,79,3,74
177,1.11,4,3,1,78,3,49
180,1.118,4,7,1,77,3,73
195,1.277,4,3,1,85,2,57
130,0.793,5,0,0,64,2,49
192,1.004,6,4,1,58,2,51
170,1.037,6,5,0,69,1,37
175,1.064,6,5,0,59,2,40
192,1.066,6,6,0,83,2,58
178,1.067,6,7,1,65,2,51
185,1.092,6,5,0,84,1,14
190,1.136,6,6,0,74,2,71
188,1.173,6,6,1,76,1,41
182,1.19,6,6,1,86,3,35
200,1.239,6,8,0,79,1,38
169,0.977,8,4,1,62,2,124
167,0.982,8,3,0,70,2,60
174,0.992,8,4,0,90,3,64
171,1.056,8,4,1,79,3,56
185,1.061,8,5,0,87,2,58
190,1.165,8,4,1,86,2,71
202,1.275,8,6,0,92,3,102
